2026-02-12 09:08:10.605 | ERROR    | __main__:main:159 - Data fetch error for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:08:10.605 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 20 → HALT
2026-02-12 09:08:10.605 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:08:10.610 | DEBUG    | aivc_trade.ops.persistence:save:29 - State saved → data/position_state.json
2026-02-12 09:13:28.479 | ERROR    | __main__:main:159 - Data fetch error for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:13:28.479 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 21 → HALT
2026-02-12 09:13:28.480 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:13:28.480 | ERROR    | __main__:main:159 - Data fetch error for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:13:28.480 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 22 → HALT
2026-02-12 09:13:28.481 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:13:28.485 | DEBUG    | aivc_trade.ops.persistence:save:29 - State saved → data/position_state.json
2026-02-12 09:18:46.496 | ERROR    | __main__:main:159 - Data fetch error for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:18:46.497 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 23 → HALT
2026-02-12 09:18:46.497 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:18:46.497 | ERROR    | __main__:main:159 - Data fetch error for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:18:46.498 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 24 → HALT
2026-02-12 09:18:46.498 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:18:46.503 | DEBUG    | aivc_trade.ops.persistence:save:29 - State saved → data/position_state.json
2026-02-12 09:24:04.521 | ERROR    | __main__:main:159 - Data fetch error for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:24:04.522 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 25 → HALT
2026-02-12 09:24:04.522 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:24:04.523 | ERROR    | __main__:main:159 - Data fetch error for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:24:04.523 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 26 → HALT
2026-02-12 09:24:04.523 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:24:04.528 | DEBUG    | aivc_trade.ops.persistence:save:29 - State saved → data/position_state.json
2026-02-12 09:29:22.683 | ERROR    | __main__:main:159 - Data fetch error for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:29:22.683 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 27 → HALT
2026-02-12 09:29:22.683 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:29:22.684 | ERROR    | __main__:main:159 - Data fetch error for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:29:22.684 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 28 → HALT
2026-02-12 09:29:22.684 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:29:22.689 | DEBUG    | aivc_trade.ops.persistence:save:29 - State saved → data/position_state.json
2026-02-12 09:34:41.051 | ERROR    | __main__:main:159 - Data fetch error for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:34:41.051 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 29 → HALT
2026-02-12 09:34:41.052 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:34:41.052 | ERROR    | __main__:main:159 - Data fetch error for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:34:41.053 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 30 → HALT
2026-02-12 09:34:41.053 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:34:41.058 | DEBUG    | aivc_trade.ops.persistence:save:29 - State saved → data/position_state.json
2026-02-12 09:39:59.338 | ERROR    | __main__:main:159 - Data fetch error for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
