run,n_trades,final_equity,total_return,sharpe,max_dd,profit_factor,win_rate,avg_pnl,regime_halts,phaseb_skips,phaseb_sizing_logs,size_mult_mean,size_mult_var,clip_rate_total,score_pnl_spearman,method,alpha,k,min_mult,max_mult,score
fine_linear,24,110509.42596281692,0.10509425962816923,1.5846920846737815,-0.07266945525745931,2.0793725334137094,0.375,437.89274845070275,9,0,16,1.0061642826889377,3.182894204473551e-07,0.0,0.24303172770082207,linear_z,1.0,0.2,0.7,1.3,110664.26169852143
fine_linear,24,110509.42596281692,0.10509425962816923,1.5846920846737815,-0.07266945525745931,2.0793725334137094,0.375,437.89274845070275,9,0,16,1.0061642826889377,3.182894204473551e-07,0.0,0.24303172770082207,linear_z,1.0,0.2,0.68,1.32,110664.26169852143
fine_linear,24,110509.42596281692,0.10509425962816923,1.5846920846737815,-0.07266945525745931,2.0793725334137094,0.375,437.89274845070275,9,0,16,1.0061642826889377,3.182894204473551e-07,0.0,0.24303172770082207,linear_z,1.0,0.2,0.65,1.35,110664.26169852143
fine_linear,24,110509.42596281692,0.10509425962816923,1.5846920846737815,-0.07266945525745931,2.0793725334137094,0.375,437.89274845070275,9,0,16,1.0061642826889377,3.182894204473551e-07,0.0,0.24303172770082207,linear_z,1.0,0.2,0.8,1.2,110664.26169852143
fine_linear,24,110505.63708332552,0.10505637083325521,1.5846358325503722,-0.07264796909159495,2.079304624017182,0.375,437.73487847189654,9,0,16,1.0058560685544908,2.872562019537736e-07,0.0,0.24303172770082207,linear_z,1.0,0.19,0.7,1.3,110660.46826812599
fine_linear,24,110505.63708332552,0.10505637083325521,1.5846358325503722,-0.07264796909159495,2.079304624017182,0.375,437.73487847189654,9,0,16,1.0058560685544908,2.872562019537736e-07,0.0,0.24303172770082207,linear_z,1.0,0.19,0.68,1.32,110660.46826812599
fine_linear,24,110505.63708332552,0.10505637083325521,1.5846358325503722,-0.07264796909159495,2.079304624017182,0.375,437.73487847189654,9,0,16,1.0058560685544908,2.872562019537736e-07,0.0,0.24303172770082207,linear_z,1.0,0.19,0.65,1.35,110660.46826812599
fine_linear,24,110505.63708332552,0.10505637083325521,1.5846358325503722,-0.07264796909159495,2.079304624017182,0.375,437.73487847189654,9,0,16,1.0058560685544908,2.872562019537736e-07,0.0,0.24303172770082207,linear_z,1.0,0.19,0.8,1.2,110660.46826812599
fine_linear,24,110501.77517979754,0.10501775179797536,1.5845716540802264,-0.07262687717184065,2.0792279758320453,0.375,437.5739658248967,9,0,16,1.0055478544200438,2.5781443056237575e-07,0.0,0.24303172770082207,linear_z,1.0,0.18,0.7,1.3,110656.60100134696
fine_linear,24,110501.77517979754,0.10501775179797536,1.5845716540802264,-0.07262687717184065,2.0792279758320453,0.375,437.5739658248967,9,0,16,1.0055478544200438,2.5781443056237575e-07,0.0,0.24303172770082207,linear_z,1.0,0.18,0.68,1.32,110656.60100134696
fine_linear,24,110501.77517979754,0.10501775179797536,1.5845716540802264,-0.07262687717184065,2.0792279758320453,0.375,437.5739658248967,9,0,16,1.0055478544200438,2.5781443056237575e-07,0.0,0.24303172770082207,linear_z,1.0,0.18,0.65,1.35,110656.60100134696
fine_linear,24,110501.77517979754,0.10501775179797536,1.5845716540802264,-0.07262687717184065,2.0792279758320453,0.375,437.5739658248967,9,0,16,1.0055478544200438,2.5781443056237575e-07,0.0,0.24303172770082207,linear_z,1.0,0.18,0.8,1.2,110656.60100134696
